Restaurant,Nickname,Review,Date,Revisit_Count,Reviewer_Review_Count,Reviewer_Photo_Count
버거부기,얌2684,진짜 좋아하는 맛집입니다ㅜㅜㅠ 햄버거 너무 맛있구요 밀크쉐이크랑 같이 먹으면 작살나요 알바생분이랑 사장님두 친절하세요 매장 분위기도 좋아서 술 시켜서 같이 먹기에두 좋네요 자주 먹으러올게요 !!,24.4.29.월,1,9,6
버거부기,파킹캣,"서울에서 소문 듣고 방문했습니다. 작은 강아지도 함께할 수 있습니다. 버거를 주문하면 뽑기를 할 수 있는 기회를 얻게 되는데, 경품이 푸짐합니다. 버거 맛 또한 훌륭합니다.",24.5.6.월,1,24,15
버거부기,헤이욧79,"불갈비버거랑 부기온앤온 세트 시켰는데 맛있어요👍
지금 오시면 이벤트도 하고 있어요! 저희는 3등 5등 당첨되서 갈릭치즈프라이랑 붕어빵 받아서 먹었어요!!
부기온앤온 버거 남자친구 맛있다고 추천이라고 해용!
불갈비도 맛있어요! 수제버거라서 진짜 맛나요!!
더보기",24.5.4.토,1,23,10
버거부기,DEEAR,수제버거 너무 좋아하는데 여기 찐맛집이에용..! 분위기도 예쁘고 특히 고기패티가 진짜 맛있습니다 😊😊😊!! 직원분들이 친절하세요 ❤,24.4.24.수,1,60,52
버거부기,ia****,수제버거 먹고 싶어서 왔는데 재료도 신선하고 너무 맛있게 먹고가요 👍🏻👍🏻👍🏻,24.5.6.월,1,3,4
버거부기,0306sj,동네맛집이에요~전에 한번 포장해서 먹고 맛있어서 이번엔 아이들 데리고 방문했어요! 햄버거도 맛있고 트러플크림스프도 빵에ㅜ찍어먹으니 넘 맛있어요 ~ 자주올께요,24.3.9.토,1,171,117
버거부기,ajoiovleo,올 때마다 매장분위기도 너무 좋고 음식도 예쁜데 선곡센스까지 항상 만족스럽게 즐기다 가요! 음식을 너무 정성스럽게 준비해주시는 것 같아요. 재료가 신선한게 느껴지고 매 번 맛있게 먹고가요ㅠㅠ,24.2.22.목,3,482,72
버거부기,우마왕16,맛있게 잘 먹고 갑니다.,24.7.19.금,8,687,256
버거부기,겨리겨리소리소리,"복정역 동서울대맛집 찾다가 방문한 버거부기 수제버거를 먹고 왔어요😍우아ㅎㅎ우선 핸썸한 사장님 너무 친절하시고 세상 다정하세요👍
내슈빌 핫치킨버거랑 부기온앤온 ❤️촉촉 패티가 두장 들어있어요👏👏👏강추합니다!!!!🧡두가지 주문하셔서 내슈빌에 매콤한 맛을 즐기고 달달부기온 드시면 환상의 조합이에요!!!하와이 분위기에 아기자기한 소품 구경도 한참했어요~😆 매장 노래도 분위기와 잘어울리고 세상 처음 발견한 각자결제 시스템 큐알이있어 더치페이로 최고예요
!!!!너무 맛잇게 잘 먹어서 최애 수제버거 넘버원 됐어여~💚 사장님 돈쭐 나셔야합니다🫶
더보기",24.1.29.월,1,174,433
버거부기,에스퍼맨63,자주 와요~ 넘 맛있어요!! 햄버거 번이 엄청 고소하고 패티 6즈비 와우!!,24.5.9.목,1,47,20
버거부기,박정웅27,지인소개로 왔는데 완전맛있어요!,24.5.17.금,1,44,67
버거부기,코쿠26,음식맛 좋고 가게 분위기도 되게 좋아요!,24.5.11.토,1,11,15
버거부기,emiliiia,인테리어도 예쁘고 햄버거랑 감자튀김도 맛있어요 ㅎㅎㅎ 직원분들도 친절하세요 다음에 또 방문하고싶어요 !,24.3.15.금,1,439,104
버거부기,wls****,분위기도 너무 좋고 사장님두 인테리어랑 맛에 진심인게 보여요!!! 너무 맛있구 집 즈변에 생기면 좋을 것 같은데 그게 슬픕니더ㅠㅠ,24.4.13.토,1,14,34
버거부기,채소납,"너무 맛있서요 강강추
학교 주변에서 수제버거 먹고싶으면 여기 와요
네슈빌핫치킨버거랑 멕시칸타코부기 추천합니당
사장님도 너무 친절하세용
더보기",24.3.28.목,1,18,29
